gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,No,Yes,No,31,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,No,Credit card (automatic),88.65,2683.2,No
Male,No,Yes,Yes,13,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Credit card (automatic),74.4,896.75,Yes
Female,No,No,No,24,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Electronic check,98.75,2407.3,Yes
Male,No,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.25,36.8,No
Male,No,No,No,41,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Electronic check,104.7,4346.4,Yes
Female,Yes,No,No,13,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Electronic check,96.85,1235.55,No
Male,Yes,No,No,22,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,Electronic check,96.7,2082.95,Yes
Female,No,No,No,2,Yes,No,DSL,No,Yes,No,Yes,No,No,Yes,Credit card (automatic),55.05,102.75,Yes
Male,No,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,No,Mailed check,51.25,51.25,No
Female,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.55,19.55,No
Male,Yes,No,No,19,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Yes,Electronic check,88.2,1775.8,Yes
Male,No,No,No,11,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Yes,Bank transfer (automatic),79.5,795.65,No
Female,No,Yes,Yes,52,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,No,Bank transfer (automatic),98.15,4993.4,No
Male,No,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Electronic check,20.25,61.45,No
Female,No,Yes,Yes,51,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Yes,Bank transfer (automatic),79.15,4018.55,No
Male,Yes,Yes,No,64,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Yes,Electronic check,94.25,6081.4,No
Female,No,No,No,37,No,No phone service,DSL,No,No,Yes,No,No,Yes,Yes,Credit card (automatic),40.2,1478.85,No
Female,No,No,No,18,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,71.1,1247.75,No
Male,Yes,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,74.7,74.7,Yes
Female,Yes,Yes,Yes,23,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Yes,Bank transfer (automatic),88.45,2130.55,No
Female,No,Yes,Yes,14,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Yes,Electronic check,84.8,1203.9,No
Female,Yes,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Yes,Mailed check,25.8,25.8,Yes
Female,No,Yes,No,17,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,No,Electronic check,92.6,1579.7,No
Female,No,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),20.55,96.1,No
Female,No,No,No,2,No,No phone service,DSL,Yes,Yes,No,No,No,Yes,Yes,Electronic check,42.6,72.4,Yes
Female,No,Yes,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Mailed check,19.6,55.25,No
Male,No,No,No,8,Yes,No,DSL,No,No,No,No,No,No,No,Mailed check,43.55,335.4,No
Female,No,No,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),109.85,7002.95,No
Female,No,Yes,Yes,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.65,158.95,No
Female,No,No,No,3,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,No,Electronic check,95.4,293.15,No
Female,No,No,No,19,Yes,No,DSL,No,No,No,No,No,Yes,Yes,Electronic check,56.2,1093.4,No
Male,No,Yes,Yes,2,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,No,Credit card (automatic),90,190.05,Yes
Female,No,Yes,Yes,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Electronic check,25.75,882.55,No
Male,No,No,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),19.6,300.4,No
Female,No,No,No,14,Yes,No,Fiber optic,No,No,Yes,No,No,No,No,Electronic check,75.35,1025.95,Yes
Male,Yes,Yes,No,7,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,No,Electronic check,64.2,475,No
Male,No,No,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,No,Electronic check,100.85,819.55,Yes
Female,No,Yes,Yes,4,Yes,No,DSL,Yes,No,No,No,No,No,No,Electronic check,50.3,217.1,No
Male,No,Yes,Yes,63,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Yes,Credit card (automatic),80.3,4896.35,No
Female,No,Yes,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,No,Electronic check,69.95,330.15,Yes
Male,No,Yes,No,30,Yes,No,DSL,No,No,Yes,No,No,No,Yes,Mailed check,50,1474.9,No
Male,No,Yes,Yes,25,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,No,Electronic check,85.9,2199.05,No
Female,No,Yes,Yes,39,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Yes,Bank transfer (automatic),81.5,3107.3,No
Male,No,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.9,518.3,No
Female,No,No,No,1,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,No,Electronic check,91.7,91.7,Yes
Male,No,No,No,12,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Yes,Electronic check,67.25,832.3,No
Female,No,No,No,16,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Yes,Credit card (automatic),95.6,1555.65,Yes
Female,No,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.35,45.3,No
Male,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,74.95,74.95,Yes
Female,No,Yes,Yes,7,No,No phone service,DSL,Yes,No,No,Yes,No,No,No,Mailed check,34.65,246.6,No
Male,Yes,No,No,4,Yes,No,Fiber optic,No,No,No,No,No,No,No,Electronic check,69.35,261.65,No
Male,Yes,No,No,10,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,Electronic check,95.35,898.35,Yes
Female,No,No,No,55,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Yes,Electronic check,81.55,4509.5,No
Female,No,Yes,No,10,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Yes,Credit card (automatic),67.8,653.15,No
Male,Yes,No,No,11,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Electronic check,111.4,1183.05,No
Female,No,Yes,Yes,15,Yes,No,DSL,No,No,No,No,No,No,No,Electronic check,46.3,639.45,No
Male,No,No,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.05,20.05,No
Female,Yes,No,No,3,Yes,No,DSL,No,No,No,No,No,No,No,Electronic check,45,127.1,Yes
Female,No,No,No,7,Yes,No,DSL,No,No,No,Yes,Yes,No,Yes,Mailed check,59.5,415.95,Yes
Male,Yes,Yes,No,12,Yes,No,Fiber optic,No,No,No,No,No,Yes,Yes,Electronic check,80.45,950.2,Yes
Male,No,No,No,21,No,No phone service,DSL,No,Yes,No,Yes,No,No,Yes,Mailed check,36,780.15,No
Female,No,Yes,Yes,6,Yes,Yes,DSL,No,No,No,No,No,No,Yes,Credit card (automatic),48.95,273.25,No
Female,Yes,No,No,7,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Yes,Electronic check,64.95,493.65,No
Male,No,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),21.1,385.55,No
Male,No,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,18.85,84.2,No
Male,Yes,No,No,2,Yes,No,Fiber optic,No,Yes,No,No,No,No,Yes,Electronic check,74.7,165.4,Yes
Male,Yes,No,No,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Yes,Electronic check,88.8,88.8,Yes
Male,No,No,No,30,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Yes,Electronic check,90.25,2755.35,Yes
Female,No,No,No,15,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Yes,Bank transfer (automatic),64.65,994.55,Yes
Male,Yes,Yes,No,13,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Yes,Bank transfer (automatic),89.05,1169.35,Yes
Male,No,No,No,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.7,675.6,No
Male,No,No,No,27,Yes,Yes,DSL,No,No,Yes,Yes,No,No,No,Electronic check,59.45,1611.65,No
Female,Yes,No,No,23,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,Electronic check,94.75,2293.6,Yes
Female,No,Yes,Yes,2,No,No phone service,DSL,No,No,No,Yes,No,No,No,Bank transfer (automatic),29.05,44.75,No
Female,No,Yes,No,9,Yes,No,Fiber optic,No,No,Yes,No,No,No,Yes,Bank transfer (automatic),75.75,655.9,Yes
Male,No,No,No,20,Yes,Yes,DSL,Yes,No,No,Yes,No,No,No,Bank transfer (automatic),59.2,1191.2,No
Female,Yes,Yes,No,30,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Yes,Electronic check,90.05,2627.2,No
Female,Yes,Yes,No,17,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Yes,Bank transfer (automatic),85.35,1463.45,Yes
Female,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,No,Electronic check,43.8,43.8,No
Male,Yes,No,No,17,Yes,No,DSL,No,No,No,No,No,No,Yes,Electronic check,45.05,770.6,Yes
Female,No,Yes,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.85,573.05,No
Male,No,Yes,No,37,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Yes,Electronic check,90.35,3419.3,No
Female,No,No,No,34,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Mailed check,109.8,3587.25,Yes
Female,Yes,No,No,42,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Yes,Electronic check,84.65,3541.35,Yes
Male,No,Yes,Yes,11,Yes,No,Fiber optic,No,No,No,No,Yes,No,Yes,Bank transfer (automatic),79.5,868.5,Yes
Male,Yes,Yes,Yes,60,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Yes,Electronic check,80.95,4859.1,No
Female,No,No,No,27,Yes,No,DSL,No,Yes,No,Yes,No,No,Yes,Mailed check,56.15,1439.35,No
Female,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,No,Mailed check,85.8,85.8,Yes
Male,Yes,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Yes,Electronic check,79.1,79.1,Yes
Male,No,Yes,No,17,No,No phone service,DSL,Yes,No,Yes,No,No,No,No,Mailed check,34.4,592.75,No
Female,No,No,No,53,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,No,Electronic check,90.8,4921.2,No
Male,No,No,No,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Electronic check,25.6,901.25,No
Male,No,Yes,Yes,50,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,No,Credit card (automatic),105.95,5341.8,Yes
Male,No,Yes,No,47,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Electronic check,25.4,1139.2,No
Female,Yes,Yes,No,65,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),108.8,7082.45,No
Male,No,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,69.75,324.6,Yes
Male,No,Yes,No,51,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,Electronic check,94.65,4812.75,Yes
Female,No,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,76.85,663.55,No
Female,No,No,No,45,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Electronic check,115.65,5125.5,No
Male,Yes,No,Yes,1,Yes,No,DSL,No,No,Yes,No,No,No,Yes,Mailed check,50.15,50.15,Yes
Female,No,Yes,No,41,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),113.6,4594.95,Yes
Female,No,No,No,29,Yes,No,Fiber optic,No,No,No,No,Yes,No,Yes,Electronic check,78.9,2384.15,Yes
Female,No,No,No,4,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Yes,Electronic check,80.15,319.85,No
Male,Yes,No,Yes,7,Yes,No,DSL,No,No,No,No,No,No,Yes,Mailed check,45.75,344.2,No
Female,No,No,Yes,35,Yes,Yes,DSL,No,No,No,No,No,No,No,Mailed check,50.15,1655.35,No
Male,Yes,Yes,No,27,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,70.55,1943.9,No
Male,No,Yes,Yes,7,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,No,Mailed check,58.85,465.7,No
Male,No,Yes,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Yes,Credit card (automatic),97.55,6669.05,No
Female,No,No,No,1,No,No phone service,DSL,No,No,No,No,Yes,No,Yes,Electronic check,34.7,34.7,Yes
Male,No,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,Electronic check,85.3,264.8,Yes
Female,No,Yes,No,21,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),104.4,2200.25,Yes
Male,No,No,No,11,No,No phone service,DSL,No,Yes,No,Yes,No,No,Yes,Electronic check,35.65,425.1,No
Male,No,No,Yes,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Electronic check,99.75,99.75,Yes
Female,Yes,Yes,No,55,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,No,Electronic check,90.45,5044.8,No
Female,Yes,No,No,3,Yes,No,Fiber optic,No,No,Yes,No,No,No,No,Electronic check,73.85,196.4,No
Female,No,No,No,5,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Yes,Electronic check,82.75,417.75,No
Male,No,Yes,No,52,Yes,Yes,DSL,No,Yes,No,Yes,No,No,No,Bank transfer (automatic),61.35,3169.55,No
Male,No,No,No,8,Yes,No,DSL,No,No,No,No,No,Yes,Yes,Credit card (automatic),54.75,438.05,No
Female,No,No,No,9,Yes,No,Fiber optic,Yes,No,No,No,No,No,Yes,Credit card (automatic),74.25,639.65,Yes
Male,No,Yes,No,30,Yes,Yes,DSL,No,No,No,No,No,No,No,Electronic check,49.9,1441.95,No
Male,No,No,No,31,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Yes,Electronic check,71.05,2168.15,No
Male,No,No,No,1,Yes,Yes,DSL,No,No,No,No,Yes,No,Yes,Electronic check,59.85,59.85,Yes
Female,Yes,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,69.6,69.6,Yes
Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.05,19.05,No
Male,No,No,No,9,No,No phone service,DSL,No,No,No,No,Yes,Yes,Yes,Electronic check,45.4,418.8,Yes
Female,No,Yes,No,7,Yes,No,DSL,No,No,No,No,No,No,Yes,Mailed check,44.25,313.45,No
Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,69.9,69.9,Yes
Male,No,Yes,Yes,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Bank transfer (automatic),20.4,745.3,No
Male,No,No,No,16,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Yes,Bank transfer (automatic),71.4,1212.1,No
Female,No,No,No,2,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Yes,Bank transfer (automatic),87.15,183.75,Yes
Female,No,Yes,Yes,3,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,Bank transfer (automatic),84.75,264.85,Yes
Male,Yes,No,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Electronic check,110.75,5832,No
Male,No,No,No,14,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Yes,Electronic check,89.95,1178.4,Yes
Female,No,No,No,12,Yes,No,DSL,No,Yes,No,Yes,No,No,Yes,Electronic check,54.3,654.5,No
Male,No,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.4,415.4,No
Male,No,Yes,Yes,35,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Yes,Bank transfer (automatic),89.65,3161.6,No
Male,No,Yes,No,71,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Yes,Bank transfer (automatic),93.25,6669.45,No
Female,Yes,No,No,41,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Electronic check,113.2,4689.5,Yes
Male,Yes,No,No,13,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Yes,Electronic check,90.5,1201.15,Yes
Male,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,No,Electronic check,79,143.65,Yes
Male,No,Yes,Yes,1,Yes,No,DSL,Yes,No,No,No,No,No,Yes,Mailed check,48.75,48.75,No
Female,No,No,No,28,Yes,Yes,DSL,No,No,No,Yes,No,No,Yes,Credit card (automatic),54.9,1505.15,No
Female,No,No,No,2,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Yes,Electronic check,91.15,168.5,No
Female,Yes,No,No,26,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Yes,Electronic check,66.05,1652.4,No
Male,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,71.65,71.65,Yes
Female,No,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.35,77.5,Yes
Female,No,No,No,38,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Yes,Credit card (automatic),84.25,3264.5,Yes
Male,No,Yes,No,54,No,No phone service,DSL,No,Yes,No,No,No,No,No,Electronic check,30.4,1621.35,No
Female,No,No,No,12,Yes,No,Fiber optic,No,No,No,No,No,Yes,No,Bank transfer (automatic),78.1,947.3,Yes
Male,No,Yes,Yes,42,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Yes,Bank transfer (automatic),69.4,3058.3,No
Female,No,Yes,No,23,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Yes,Credit card (automatic),73.65,1642.75,No
Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Yes,Bank transfer (automatic),43.85,43.85,No
Male,No,No,No,22,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Mailed check,69.7,1490.4,No
Female,No,Yes,Yes,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.65,716.4,No
Female,No,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,No,Electronic check,76.35,76.35,Yes
Male,Yes,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,Electronic check,85,2642.05,Yes
Female,Yes,No,No,23,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Yes,Mailed check,79.35,1835.3,No
Male,No,No,No,1,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Yes,Electronic check,75.5,75.5,No
Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.2,19.2,No
Male,No,Yes,Yes,60,Yes,Yes,Fiber optic,No,No,No,No,No,No,No,Bank transfer (automatic),74.35,4453.3,No
Female,No,Yes,No,6,Yes,No,DSL,No,No,No,No,No,No,No,Mailed check,45.65,323.45,No
Male,Yes,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,No,Electronic check,85.3,2661.1,Yes
Female,No,No,No,32,Yes,Yes,DSL,No,Yes,No,No,No,No,Yes,Electronic check,54.2,1739.6,No
Male,No,Yes,No,65,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Yes,Electronic check,90.65,5931,No
Female,No,Yes,Yes,45,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Yes,Bank transfer (automatic),50.9,2333.85,No
Female,Yes,Yes,No,22,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Yes,Mailed check,63.55,1381.8,No
Male,Yes,Yes,No,57,No,No phone service,DSL,No,No,No,No,Yes,Yes,Yes,Electronic check,44.85,2572.95,Yes
Male,No,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,No,Electronic check,47.95,47.95,No
Male,Yes,No,No,1,Yes,No,DSL,No,No,No,No,No,No,No,Electronic check,45.1,45.1,Yes
Female,No,Yes,No,1,Yes,No,DSL,No,No,No,No,No,No,Yes,Electronic check,45,45,No
Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),20.05,20.05,Yes
Male,Yes,No,No,54,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Yes,Electronic check,90.05,4931.8,No
Male,No,No,No,45,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Yes,Electronic check,75.95,3273.8,No
Male,No,No,No,10,Yes,No,DSL,No,No,No,No,No,No,Yes,Electronic check,45.55,402.6,Yes
Female,Yes,Yes,No,47,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Yes,Credit card (automatic),67.45,3252,No
Female,No,Yes,No,2,No,No phone service,DSL,No,No,No,No,No,Yes,Yes,Electronic check,35.1,68.75,Yes
